Source,Name,Description
Wikipedia,Laetiporus gilbertsonii,"is a species of polypore fungus in the family Fomitopsidaceae. It is found in western North America and South America. It was one of three new Laetiporus species published in 2001, which were distinguished genetically from the common Laetiporus sulphureus; the others were L. conifericola and L. huroniensis. The type collection, made in San Francisco's Golden Gate Park in 1997, was found fruiting on a eucalyptus tree. It has also been collected in Oregon and Washington. Th"
Mushroom Expert,Laetiporus gilbertsonii,"Ecology:Parasiticandsaprobicon living and dead oaks andeucalyptustrees; causing abrown rotof the heartwood; growing alone or gregariously on wood above the ground; fall and winter; distributed along the West Coast and in the southwestern United States, as well as western Mexico. The illustrated and described collection is from California.
Fruiting Body: Up to 20 cm across; usually consisting of several to many shelving caps.
Caps: 6–14 cm across; 4–10 cm deep; up to 2 cm thick; fan-shaped to sem"
Wikipedia,Laxitextum bicolor,is a plant pathogen fungus. It is inedible.
Wikipedia,Lentinus crinitus,"is a basidiomycete in Agaricomycotina. It is in the order Polyporales and in the family Polyporaceae, within the group Polyporellus. There are many synonyms including Agaricus essequeboensis, Lentinus chaetoloma, Lentinus essequeboensis, Lentinus microloma, Lentinus rigidulus, Lentinus subcervinus, Curtis, Lentinus wrightii, Panus crinitus, Panus wrightii, Polyporus phyllostipes, and Agaricus crinitus.  The common name is The Fringed Sawgill.
This fungus was first described by"
First Nature,Lepista nuda,", the Wood Blewit,  grows in leaf
    litter in deciduous and mixed woodland and under hedgerows during autumn and winter, often fruiting well into December during  mild weather."
Wikipedia,Lepista nuda,"Collybia nuda, commonly known as the blewit or wood blewit and previously described as  and Clitocybe nuda, is an edible mushroom native to Europe and North America. Described by Pierre Bulliard in 1790, it was also known as Tricholoma nudum for many years. It is found in both coniferous and deciduous woodlands. It is a fairly distinctive mushroom that is widely eaten. It has been cultivated in Britain, the Netherlands and France. This species was reassigned to the genus Collybia in"
Wikipedia,Panaeolus antillarum,"is a species of mushroom in the family Bolbitiaceae. It is edible but not commonly eaten. It is found from northern North America through Mexico into northern South America.
It is often mistaken for Panaeolus semiovatus var. phalaenarum or Panaeolus cyanescens, the latter species can be distinguished by the thinner, grayer cap and blue bruising."
First Nature,Phlebia radiata,"A wood-rotting crust fungus of fallen trunks and branches from deciduous hardwoods and occasionally conifers, this attractive species produces its spores on the wrinkled outer surface. Wrinkled Crust is very common in Britain and Ireland."
Wikipedia,Phlebia radiata,", commonly known as the wrinkled crust, is a common species of crust fungus in the family Meruliaceae. It is widespread in the Northern Hemisphere. It grows as a wrinkled, orange to pinkish waxy crust on the decaying wood of coniferous and deciduous trees, in which it causes a white rot. The fungus was first described scientifically in 1821 by Elias Magnus Fries."
Mushroom Expert,Phlebia radiata,"Ecology:Saprobic; spreading across logs and stumps of hardwoods or conifers; annual; causing a white rot; spring, summer, fall, and winter; widely distributed in North America.
Fruiting Body: 1-10 cm or more across; irregular in outline; up to about 3 mm thick; surface wrinkled, with the wrinkles and folds radiating from a more or less central point; orange to pink (more rarely tan with orangish edges, or purplish); occasionally developing a slightly folded-over, hairy edge.
Spore Print: White."
Wikipedia,Pleurotus djamor,", commonly known as the pink oyster mushroom, is a species of fungus in the family Pleurotaceae."
First Nature,Pseudohydnum gelatinosum,"is variously referred to as the Toothed Jelly Fungus, the False Hedgehog Fungus, or the White Jelly Mushroom. This rather strange fungus occurs on well-rotted coniferous wood, most commonly on spruce varieties."
Wikipedia,Pseudohydnum gelatinosum,", commonly known as the toothed jelly fungus, cat's tongue, or jelly tooth, is an Eurasian species of fungus in the order Auriculariales. Its common names refer to its gelatinous consistency and hydnoid (toothed) undersurface."
Mushroom Expert,Pseudohydnum gelatinosum,"Ecology:Saprobicon the wood or woody debris of conifers, causing awhite rot; sometimes growing from standing trees; growing alone, scattered, or gregariously; late summer and fall, or fall and winter in warmer climates; originally described from Slovenia; widely distributed in Europe, North America, Central America, the Caribbean, South America, Asia, and Oceania. The illustrated and described collections are from California and Michigan.
Cap: 2.5–5.5 cm across; tongue-shaped or kidney-shaped; b"
Wikipedia,Pycnoporus sanguineus,"is a white rot saprobic fungus. It was discovered on Guana Island (part of the Virgin Islands) but occurs throughout the tropics and subtropics, usually growing on dead hardwoods.  It grows in the form of a thin dry conk with a lateral attachment to its substrate, or sometimes a very short stipe. The cap is orange-red to orange, lightening to salmon/buff in age. It has concentric zonation, and is finely tomentose to nearly glabrous. The pores on the underside are round, mea"
Wikipedia,Rigidoporus ulmarius,"is a fungal plant pathogen found mainly on broad-leaved trees. Elm is considered particularly susceptible.
The fruiting bodies are white, knobbly and relatively hard, requiring a fair amount of force to break. Older bodies may be covered with green algae, or partially covered with vegetation and leaves making them difficult to spot. They often encapsulate grass, twigs and other debris.
Tubes are 1–5 mm long in each layer, pinkish to orange when young, browning with age, each"
First Nature,Schizophyllum commune,"Often seen on sickly hardwood trees, but equally common on  dead wood including cut timber, the Split Gill fungus usually grows as a sessile  bracket. On the undersides of branches, however, it more often forms  centrally-attached circular fans, as shown on the left, below."
Wikipedia,Schizophyllum commune,"is a species of fungus in the genus Schizophyllum. The mushroom resembles undulating waves of tightly packed corals or a loose Chinese fan. Gillies or split-gills vary from creamy yellow to pale white in colour. The cap is small, 1–4 centimetres (3⁄8–1+5⁄8 in) wide with a dense yet spongey body texture. It is known as the split-gill mushroom because of the unique, longitudinally divided nature of the namesake gills on the underside of the cap. This mushroom is found through"
Mushroom Expert,Schizophyllum commune,"Ecology:Saprobicon deadwood or occasionallyparasiticon living wood; growing alone or, more frequently, gregariously to clustered; on decaying hardwood sticks and logs (even on planks and boards); year-round (it survives by shriveling up and waiting for more moisture); originally described and named from Sweden; widely distributed in North America and throughout the world. The illustrated and described collections are from Illinois, Indiana, and Kentucky.
Cap: 1–4 cm across; fan-shaped when attac"
First Nature,Scleroderma citrinum,", the Common Earthball, is similar in appearance to a warty potato. Acid soils,
    especially on the compacted paths in forests, are its main habitat. The colour of these probably poisonous members of the (artificial rather than taxonomically-related) group of fungi known as gasteromycetes or stomach fungi varies from light ochre to mid brown, but usually there is a lemon-yellow tinge, especially to the upper surface. For this reason another of its common names is  Citrine E"
Wikipedia,Scleroderma citrinum,", commonly known as the common earthball, pigskin poison puffball, or common earth ball, is a species of earthball fungus found in Europe and in North America. It is the most common species of earthball fungus in the UK and occurs widely in woods, heathland and in short grass from autumn to winter.  has two synonyms, Scleroderma aurantium (Vaill.) and Scleroderma vulgare Horn.
Earthballs are superficially similar to, and considered look-alikes of, the edib"
Mushroom Expert,Scleroderma citrinum,"Ecology:Mycorrhizalwith hardwoods and conifers; often found in mossy areas (occasionally on well-rotted wood); growing alone, scattered, or gregariously; widely distributed; summer and fall.
Fruiting Body: 2-10 cm across; round or flattened; the surface hard and scaly, yellowish to yellow-brown, often cracked; the ""skin"" whitish when sliced but blushing pinkish; sometimes gathered at the base, wheremycelial strandsmay be found.
Spore Mass: Thick and white at first, becoming purple to purple-blac"
First Nature,Sparassis crispa,"This massive fungus, sometimes several attaining a weight of several kg, grows at the bases of pine trees and occasionally other softwoods in
    summer and autumn. Commonly referred to as the Wood Cauliflower, this really is an impressive fungus."
Wikipedia,Sparassis crispa,is a species of fungus in the family Sparassidaceae. It is sometimes called cauliflower fungus.
First Nature,Stereum hirsutum,"No matter how many of these attractve bracket fungi you see, there will always be anotherwith significantly different coloration. The variability of this fungus makes its identification at first rather difficult."
Wikipedia,Stereum hirsutum,", commonly known as the false turkey tail, hairy stereum, or hairy curtain crust, is a species of fungus and a plant pathogen that infects coniferous and deciduous trees."
Mushroom Expert,Stereum hirsutum,"Ecology:Saprobicon the dead wood of hardwoods, especially oaks; growing densely gregariously, often from gaps in the bark, fusing together laterally; causing a white rot of the heartwood; often serving as a host to algae; sometimes parasitized byjelly fungi; spring, summer, fall, and winter; widely distributed in North America.
Fruiting Body: Individually .5-3 cm across, but often fused together; fan-shaped, semicircular, or irregular; densely velvety, hairy, or with appressed hairs; with concen"
First Nature,Stropharia rugosoannulata,"The Wine  Roundhead is a large and very distinctive mushroom, at least when young and fresh. Unfortunately, the red-wine colouring of the caps soon fades to brown and eventually almost white in dry weather. making it more difficult to distinguish this roundhead mushroom from   other dull-looking mushrooms of similar size."
Wikipedia,Stropharia rugosoannulata,", commonly known as the wine cap stropharia, ""garden giant"", burgundy mushroom, king stropharia, or wine-red stropharia, is a species of agaric mushroom in the family Strophariaceae native to Europe and North America.
Unlike many other members of the genus Stropharia, it is regarded as a choice edible and is commercially cultivated."
Mushroom Expert,Stropharia rugosoannulata,"Ecology:Saprobic; growing scattered or gregariously (sometimes in clusters); usually found on woodchips, in gardens, and in other cultivated areas, but sometimes collected along stream beds where spring floods have occurred; spring through fall; in North America widespread and fairly common east of the Great Plains, and occasionally reported in Washington and British Columbia. The illustrated and described collections are from Pennsylvania, Massachusetts, and Illinois.
Cap: 4–13 cm; convex at fi"
First Nature,Trametes versicolor,"Trametes
    versicolor, Turkeytail fungus (formerly known as the Many-Zoned Polypore) can be found all through the year, but it is most obvious in the winter months when deciduous trees are bare. This very variable fungus grows mainly on dead hardwood, including stumps and standing dead trees as well as fallen branches. Some specimens are strikingly vivid in their colouring."
Wikipedia,Trametes versicolor,"– also known as Coriolus versicolor and Polyporus versicolor – is a common polypore mushroom found throughout the world. Meaning 'of several colors', versicolor accurately describes this fungus that displays a unique blend of markings. Additionally, owing to its shape being similar to that of a wild turkey's tail feathers, T. versicolor is most commonly referred to as turkey tail. A similar-looking mushroom commonly called ""false turkey tail"" is from a different order (Stereu"
Mushroom Expert,Trametes versicolor,"Ecology:Saprobicon the deadwood of hardwoods, or rarely on the wood of conifers; annual; causing a white rot of the sapwood; growing in dense, overlapping clusters or rosettes on logs and stumps; year-round; very widely distributed and common in North America. The illustrated and described collections are from Illinois.
Cap: 2–8 cm across; 1–4 cm deep; 1–2 mm thick; plano-convex to flat; in outline circular, semicircular, fan-shaped, bracket-shaped, or kidney-shaped; often fused with other caps;"
First Nature,Volvariella bombycina,"This rare and striking silky-capped mushroom often emerges from knot holes and other damaged areas high up on standing trees. It is not parasitic, and even when seen on living trees it is invariably attached to dead wood."
Wikipedia,Volvariella bombycina,", commonly known as the silky volvariella, silky sheath, silky rosegill, silver-silk straw mushroom, or tree mushroom, is a species of edible mushroom in the family Pluteaceae.
The fruit body (mushroom) begins developing in a thin, egg-like sac. This ruptures and the stem expands quickly, leaving the sac at the base of the stem as a volva. The cap, which can attain a diameter of up to 20 centimetres (8 inches), is white to slightly yellowish and covered with silky hairs. On"
Mushroom Expert,Volvariella bombycina,"Ecology:Saprobicon the wood of various hardwoods, either on dead trees or from the wounds of living, standing trees in forests or urban areas; usually growing alone but sometimes growing gregariously; late spring, summer and fall; widely distributed in North America but much more common east of the Rocky Mountains (and in western areas usually appearing in urban settings on the wood of cultivated trees); also found Central America, the Caribbean, South America, Europe, and central Asia—and occas"
